,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,CX,CY,CS,USER
1952,745006,12242.86523,4889685724348,1141.7344,992.8947199999999,12242.55273,0.2793,7174,0,1.03149,1.0078200000000002,1,0.55308,0.76473,1,0.79228,0.8862700000000001,1,0.31155,0.64982,31.25892,1.0,1,0.7136,0.73124,28.648529999999997,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00731,1,0.04145,-0.02557,0.57296,0.006229999999999999,1,0.49896,0.4963,0,0
1953,745007,12242.88086,4889685888280,1289.152,964.1510400000001,12242.55273,0.2793,7174,0,1.39644,1.14654,1,0.57855,0.56962,1,0.9875,0.85808,1,0.30983,0.64728,31.2747,1.0,1,0.71236,0.72706,28.11693,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007370000000000001,1,0.04145,-0.02557,0.57296,0.00655,1,0.49896,0.4963,0,0
1954,745008,12242.89746,4889686053012,1587.2128,938.1824,12242.55273,0.2793,7174,0,1.90735,1.40255,1,0.47313999999999995,0.44186000000000003,1,1.19025,0.9222100000000001,1,0.30915,0.64757,31.49415,1.0,1,0.71217,0.7280300000000001,28.32487,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007520000000000001,1,0.04145,-0.02557,0.57296,0.00639,1,0.49896,0.4963,0,0
1955,745009,12242.91406,4889686218896,1715.3663999999999,955.26272,12242.55273,0.2793,7174,0,1.90735,1.40255,1,0.47313999999999995,0.44186000000000003,1,1.19025,0.9222100000000001,1,0.30881,0.6471899999999999,31.8133,1.0,1,0.71187,0.72753,28.48364,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00742,1,0.04145,-0.02557,0.57296,0.00643,1,0.49896,0.4963,0,0
1956,745010,12242.93066,4889686383348,1659.0976,894.8672,12242.55273,0.2793,7174,0,1.38814,1.0434700000000001,1,0.5283800000000001,0.41373000000000004,1,0.95826,0.7286,1,0.30811,0.64718,31.85037,1.0,1,0.71163,0.72754,28.52416,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007390000000000001,1,0.04145,-0.02557,0.57296,0.00642,1,0.49896,0.4963,0,0
1957,745011,12242.94727,4889686545722,1717.9904,885.7945599999999,12242.55273,0.2793,7174,0,1.7914700000000001,1.31495,1,0.4646,0.40958,1,1.1280299999999999,0.86226,1,0.30835,0.6472100000000001,32.01635,1.0,1,0.7117399999999999,0.7277,28.511509999999998,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007409999999999999,1,0.04145,-0.02557,0.57296,0.00642,1,0.49896,0.4963,0,0
1958,745012,12242.96387,4889686711017,1740.9407999999999,898.37952,12242.55273,0.2793,7174,0,1.7914700000000001,1.31495,1,0.4646,0.40958,1,1.1280299999999999,0.86226,1,0.30833,0.6472600000000001,32.118790000000004,1.0,1,0.7117600000000001,0.72795,28.55204,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0074,1,0.04145,-0.02557,0.57296,0.00645,1,0.49896,0.4963,0,0
1959,745013,12242.97949,4889686874166,1674.6752000000001,842.06976,12242.55273,0.2793,7174,0,1.35445,0.95101,1,0.55515,0.41905,1,0.9548,0.68503,1,0.30758,0.6472899999999999,32.04377,1.0,1,0.71126,0.72848,28.788890000000002,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00744,1,0.04145,-0.02557,0.57296,0.0064,1,0.49896,0.4963,0,0
1960,745014,12242.99609,4889687038780,1619.1616000000001,812.78336,12242.55273,0.2793,7174,0,1.42195,1.0104899999999999,1,0.50221,0.49323999999999996,1,0.9620799999999999,0.7518699999999999,1,0.30712,0.64793,31.971490000000003,1.0,1,0.7109,0.72932,28.9311,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00745,1,0.04145,-0.02557,0.57296,0.00644,1,0.49896,0.4963,0,0
1961,745015,12243.0127,4889687203330,1585.3056000000001,805.34912,12242.55273,0.2793,7174,0,1.42195,1.0104899999999999,1,0.50221,0.49323999999999996,1,0.9620799999999999,0.7518699999999999,1,0.30712,0.64895,31.30485,1.0,1,0.71094,0.7298600000000001,28.669729999999998,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0075,1,0.04145,-0.02557,0.57296,0.006370000000000001,1,0.49896,0.4963,0,0
1962,745016,12243.0293,4889687368573,1571.8911999999998,780.15872,12242.55273,0.2793,7174,0,1.36605,0.9616600000000001,1,0.5481199999999999,0.409,1,0.95709,0.68533,1,0.30745,0.64912,32.2296,1.0,1,0.71087,0.7307100000000001,28.72669,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0074,1,0.04145,-0.02557,0.57296,0.00646,1,0.49896,0.4963,0,0
1963,745017,12243.0459,4889687532613,1425.472,688.93056,12242.55273,0.2793,7174,0,0.8392700000000001,0.63812,1,0.50432,0.36015,1,0.6718,0.49913,1,0.30773,0.64851,32.44085,1.0,1,0.71132,0.73029,28.78652,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007370000000000001,1,0.04145,-0.02557,0.57296,0.00642,1,0.49896,0.4963,0,0
1964,745018,12243.061520000001,4889687695988,1302.6816,614.02496,12242.55273,0.2793,7174,0,0.8392700000000001,0.63812,1,0.50432,0.36015,1,0.6718,0.49913,1,0.30804000000000004,0.64818,32.50104,1.0,1,0.71182,0.73018,28.64357,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00746,1,0.04145,-0.02557,0.57296,0.0065,1,0.49896,0.4963,0,0
1965,745019,12243.07812,4889687860031,1334.7199999999998,613.4105599999999,12242.55273,0.2793,7174,0,1.17515,0.83805,1,0.51045,0.30295,1,0.8428,0.5705,1,0.30916,0.64837,32.08392,1.0,1,0.7126600000000001,0.73017,28.805790000000002,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007379999999999999,1,0.04145,-0.02557,0.57296,0.00645,1,0.49896,0.4963,0,0
1966,745020,12243.094729999999,4889688025138,1170.1504,489.08672,12242.55273,0.2793,7174,0,0.45808000000000004,0.2107,1,0.49783999999999995,0.35168,1,0.47796000000000005,0.28119,1,0.30977,0.64872,31.30932,1.0,1,0.71316,0.7300399999999999,28.8385,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0075,1,0.04145,-0.02557,0.57296,0.0065,1,0.49896,0.4963,0,0
1967,745021,12243.11133,4889688188558,1050.9696,402.51776,12242.55273,0.2793,7174,0,0.45808000000000004,0.2107,1,0.49783999999999995,0.35168,1,0.47796000000000005,0.28119,1,0.30979,0.64898,31.28847,1.0,1,0.7134199999999999,0.73009,28.61808,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0075,1,0.04145,-0.02557,0.57296,0.0065,1,0.49896,0.4963,0,0
1968,745022,12243.12793,4889688353815,1083.6480000000001,435.77727999999996,12242.55273,0.2793,7174,0,0.79483,0.52163,1,0.50046,0.40476,1,0.64764,0.4632,1,0.31125,0.64894,31.32419,1.0,1,0.7146100000000001,0.73027,28.66777,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00747,1,0.04145,-0.02557,0.57296,0.006540000000000001,1,0.49896,0.4963,0,0
1969,745023,12243.14453,4889688517252,1262.1055999999999,588.5478400000001,12242.55273,0.2793,7174,0,1.6205200000000002,1.30172,1,0.54442,0.49398000000000003,1,1.08247,0.89785,1,0.31311,0.64944,32.768029999999996,1.0,1,0.7157899999999999,0.73219,28.90602,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00732,1,0.04145,-0.02557,0.57296,0.006490000000000001,1,0.49896,0.4963,0,0
1970,745024,12243.16016,4889688681518,1483.84,767.97312,12242.55273,0.2793,7174,0,1.6205200000000002,1.30172,1,0.54442,0.49398000000000003,1,1.08247,0.89785,1,0.31382,0.65071,32.32255,1.0,1,0.71675,0.7328100000000001,28.47543,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007409999999999999,1,0.04145,-0.02557,0.57296,0.0065,1,0.49896,0.4963,0,0
1971,745025,12243.17676,4889688848288,1576.896,812.85504,12242.55273,0.2793,7174,0,1.70573,1.26538,1,0.54898,0.44287,1,1.12735,0.8541200000000001,1,0.31626,0.65003,33.0063,1.0,1,0.7189399999999999,0.73341,28.746259999999996,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0073,1,0.04145,-0.02557,0.57296,0.00648,1,0.49896,0.4963,0,0
