               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.025964,            0.012236,                   0,             0.88879,             0.88889,             0.85178,             0.67091,           0.0079882,           0.0033343,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.020149,           0.0090621,                   0,             0.88882,             0.88889,              0.8112,             0.68103,           0.0091265,           0.0034366,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.022256,           0.0088777,                   0,             0.88886,             0.88889,             0.84094,             0.74279,           0.0061614,           0.0032067,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,             0.01947,            0.010217,                   0,             0.99813,             0.88889,              0.9435,             0.84901,           0.0064342,           0.0030722,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.020601,            0.010417,                   0,             0.88888,             0.88889,             0.84873,             0.69294,            0.012117,           0.0037912,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.025886,            0.011033,                   0,             0.89999,             0.99992,             0.95127,             0.55947,            0.014671,           0.0039397,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.029822,             0.01104,                   0,             0.89997,                   1,              0.9293,             0.72974,           0.0081216,           0.0036383,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,             0.02301,            0.010433,                   0,             0.88873,             0.88889,             0.85478,             0.61969,            0.011969,           0.0040951,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,             0.02486,            0.010076,                   0,              0.8888,             0.88889,             0.85189,             0.68933,           0.0096951,            0.003823,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.018024,           0.0097868,                   0,             0.88872,             0.88889,             0.83004,             0.68432,           0.0085345,           0.0031871,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.022493,           0.0099779,                   0,              0.8999,                   1,             0.91838,             0.74944,           0.0062663,           0.0030465,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.026504,            0.010407,                   0,             0.88883,             0.88889,             0.94386,             0.60621,            0.013693,           0.0033308,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.024571,           0.0090257,                   0,             0.89999,             0.99993,             0.97338,             0.78404,           0.0066775,           0.0031419,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.019857,           0.0098749,                   0,                   1,             0.88793,             0.97541,             0.82354,            0.006406,           0.0030565,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,             0.02088,           0.0087177,                   0,                 0.9,             0.99995,             0.97349,              0.8348,             0.00582,           0.0030567,                   0,           0.0066671,           0.0066671,           0.0066671
